series,title,year,release,rated,runtime,action,adventure,crime,drama,fantasy,thriller,documentary,horror,scifi,war,comedy,family,mystery,romance,animation,music,biography,history,short,western,language,inEnglish,country,isUSA,awards,wins,nominations,imdbRating,metascore,rottenscore,imdbVote,plot,production.budget,domestic,boxoffice,title2,year2,release2,rated2,runtime2,action2,adventure2,crime2,drama2,fantasy2,thriller2,documentary2,horror2,scifi2,war2,comedy2,family2,mystery2,romance2,animation2,music2,biography2,history2,short2,western2,language2,inEnglish2,country2,isUSA2,awards2,wins2,nominations2,imdbRating2,metascore2,rottenscore2,imdbVote2,plot2,production.budget2,domestic2,boxoffice2
Harry Potter,Harry Potter and the Order of the Phoenix,2007,7/11/2007,PG-13,138,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,"UK, USA",TRUE,Nominated for 2 BAFTA Film Awards. Another 14 wins & 40 nominations.,14,40,7.5,71,78,466500,"With their warning about Lord Voldemort's return scoffed at, Harry and Dumbledore are targeted by the Wizard authorities as an authoritarian bureaucrat slowly seizes power at Hogwarts.",181000000,352000000,291980108,Harry Potter and the Half-Blood Prince,2009,7/15/2009,PG,153,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,"UK, USA",TRUE,Nominated for 1 Oscar. Another 8 wins & 36 nominations.,8,36,7.6,78,83,432408,"As Harry Potter (Daniel Radcliffe) begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's (Ralph Fiennes') dark past.",278000000,336000000,301920409
Harry Potter,Harry Potter and the Prisoner of Azkaban,2004,6/4/2004,PG,142,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,"UK, USA",TRUE,Nominated for 2 Oscars. Another 14 wins & 45 nominations.,14,45,7.9,82,90,502907,"It's Harry's third year at Hogwarts; not only does he have a new ""Defense Against the Dark Arts"" teacher, but there is also trouble brewing. Convicted murderer Sirius Black has escaped the Wizards' Prison and is coming after Harry.",174000000,334000000,249358727,Harry Potter and the Goblet of Fire,2005,11/18/2005,PG-13,157,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"English, French",TRUE,"UK, USA",TRUE,Nominated for 1 Oscar. Another 13 wins & 42 nominations.,13,42,7.7,81,88,503483,"Harry Potter (Daniel Radcliffe) finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.",194000000,375000000,289994397
Harry Potter,Harry Potter and the Sorcerer's Stone,2001,11/16/2001,PG,152,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,"UK, USA",TRUE,Nominated for 3 Oscars. Another 17 wins & 62 nominations.,17,62,7.6,64,81,586903,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.",183000000,464000000,317557891,Harry Potter and the Chamber of Secrets,2002,11/15/2002,PG,161,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,"UK, USA, Germany",TRUE,Nominated for 3 BAFTA Film Awards. Another 11 wins & 42 nominations.,11,42,7.4,63,83,507699,An ancient prophecy seems to be coming true when a mysterious presence begins stalking the corridors of a school of magic and leaving its victims paralyzed.,142000000,373000000,261835892
Hellboy,Hellboy,2004,4/2/2004,PG-13,122,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"English, Russian",TRUE,USA,TRUE,3 wins & 23 nominations.,3,23,6.8,72,81,295290,"A demon, raised from infancy after being conjured by and rescued from the Nazis, grows up to become a defender against the forces of darkness.",88212520,79690600,59035104,Hellboy II: The Golden Army,2008,7/11/2008,PG-13,120,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"English, Scottish Gaelic",TRUE,"USA, Germany, Hungary",TRUE,Nominated for 1 Oscar. Another 5 wins & 29 nominations.,5,29,7,78,86,246975,"The mythical world starts a rebellion against humanity in order to rule the Earth, so Hellboy (Ron Perlman) and his team must save the world from the rebellious creatures.",98259108,87839600,75754670
Hellboy,Hellboy II: The Golden Army,2008,7/11/2008,PG-13,120,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"English, Scottish Gaelic",TRUE,"USA, Germany, Hungary",TRUE,Nominated for 1 Oscar. Another 5 wins & 29 nominations.,5,29,7,78,86,246975,"The mythical world starts a rebellion against humanity in order to rule the Earth, so Hellboy (Ron Perlman) and his team must save the world from the rebellious creatures.",98259108,87839600,75754670,Hellboy,2019,4/12/2019,R,120,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"English, Spanish, German, Russian",TRUE,"USA, UK, Bulgaria, Canada",TRUE,N/A,N/A,N/A,5.2,31,17,58883,"Based on the graphic novels by Mike Mignola, Hellboy, caught between the worlds of the supernatural and human, battles an ancient sorceress bent on revenge.",50000000,21903748,N/A
Home Alone,Home Alone,1990,11/16/1990,PG,103,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,USA,TRUE,Nominated for 2 Oscars. Another 10 wins & 4 nominations.,10,4,7.6,63,65,419591,An eight-year-old troublemaker must protect his house from a pair of burglars when he is accidentally left home alone by his family during Christmas vacation.,35412389,562000000,N/A,Home Alone 2: Lost in New York,1992,11/20/1992,PG,120,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"English, French",TRUE,USA,TRUE,3 wins & 3 nominations.,3,3,6.7,NA,33,271294,"One year after Kevin McCallister was left home alone and had to defeat a pair of bumbling burglars, he accidentally finds himself stranded in New York City - and the same criminals are not far behind.",-999,347000000,N/A
Home Alone,Home Alone 2: Lost in New York,1992,11/20/1992,PG,120,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"English, French",TRUE,USA,TRUE,3 wins & 3 nominations.,3,3,6.7,NA,33,271294,"One year after Kevin McCallister was left home alone and had to defeat a pair of bumbling burglars, he accidentally finds himself stranded in New York City - and the same criminals are not far behind.",-999,347000000,N/A,Home Alone 3,1997,12/12/1997,PG,102,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"English, Polish",TRUE,USA,TRUE,3 nominations.,0,3,4.4,NA,29,97555,"Alex Pruitt, a young boy of nine living in Chicago, fends off thieves who seek a top-secret chip in his toy car to support a North Korean terrorist organization's next deed.",57115348,55120800,N/A
Hostel,Hostel,2005,1/6/2006,R,94,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"English, Czech, German, Dutch, Slovak, Japanese, Icelandic, Russian, Spanish",TRUE,"USA, Germany, Czech Republic, Slovakia, Iceland",TRUE,4 wins & 12 nominations.,4,12,5.9,55,61,161452,"Three backpackers head to a Slovak city that promises to meet their hedonistic expectations, with no idea of the hell that awaits them.",6082448,59971000,47277326,Hostel: Part II,2007,6/8/2007,R,94,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"English, Slovak, Italian, Czech",TRUE,"USA, Czech Republic, Italy, Iceland, Slovakia",TRUE,5 nominations.,0,5,5.5,46,44,81451,"Three American college students studying abroad are lured to a Slovakian hostel, and discover the grim reality behind it.",12305255,21244000,17544812
How to Train Your Dragon,How to Train Your Dragon,2010,3/26/2010,PG,98,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,USA,TRUE,Nominated for 2 Oscars. Another 25 wins & 60 nominations.,25,60,8.1,74,99,623056,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",172000000,227000000,216900000,How to Train Your Dragon 2,2014,6/13/2014,PG,102,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,USA,TRUE,Nominated for 1 Oscar. Another 14 wins & 60 nominations.,14,60,7.8,76,92,286877,"When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace.",146000000,178000000,147065544
How to Train Your Dragon,How to Train Your Dragon 2,2014,6/13/2014,PG,102,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,USA,TRUE,Nominated for 1 Oscar. Another 14 wins & 60 nominations.,14,60,7.8,76,92,286877,"When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace.",146000000,178000000,147065544,How to Train Your Dragon: The Hidden World,2019,2/22/2019,PG,104,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,"USA, Japan",TRUE,N/A,N/A,N/A,7.5,71,90,80386,"When Hiccup discovers Toothless isn't the only Night Fury, he must seek ""The Hidden World"", a secret Dragon Utopia before a hired tyrant named Grimmel finds it first.",129000000,160799505,N/A
Hulk,Hulk,2003,6/20/2003,PG-13,138,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"English, Spanish",TRUE,USA,TRUE,3 wins & 14 nominations.,3,14,5.6,54,62,242957,"Bruce Banner, a genetics researcher with a tragic past, suffers an accident that causes him to transform into a raging green monster when he gets angry.",189000000,182000000,132122995,The Incredible Hulk,2008,6/13/2008,PG-13,112,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"English, Portuguese, Spanish",TRUE,USA,TRUE,1 win & 8 nominations.,1,8,6.7,61,67,412381,"Bruce Banner, a scientist on the run from the U.S. Government, must find a cure for the monster he turns into, whenever he loses his temper.",173000000,156000000,134518390
I Know What You Did Last Summer,I Know What You Did Last Summer,1997,10/17/1997,R,101,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,USA,TRUE,3 wins & 7 nominations.,3,7,5.7,52,42,125396,Four young friends bound by a tragic accident are reunited when they find themselves being stalked by a hook-wielding maniac in their small seaside town.,-999,131000000,N/A,I Still Know What You Did Last Summer,1998,11/13/1998,R,100,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,"USA, Mexico",TRUE,4 wins & 7 nominations.,4,7,4.7,21,7,65037,"The murderous fisherman with a hook is back to once again stalk the two surviving teens, Julie and Ray, who had left him for dead, as well as cause even more murder and mayhem, this time at a posh island resort.",114000000,70296700,N/A
Ice Age,Ice Age,2002,3/15/2002,PG,81,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,USA,TRUE,Nominated for 1 Oscar. Another 5 wins & 29 nominations.,5,29,7.5,60,77,414313,"Set during the Ice Age, a sabertooth tiger, a sloth, and a wooly mammoth find a lost human infant, and they try to return him to his tribe.",84285712,252000000,176400000,Ice Age: The Meltdown,2006,3/31/2006,PG,91,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,USA,TRUE,8 wins & 16 nominations.,8,16,6.8,58,57,241427,"Manny, Sid, and Diego discover that the ice age is coming to an end, and join everybody for a journey to higher ground. On the trip, they discover that Manny, in fact, is not the last of the woolly mammoths.",101000000,248000000,195300000
Ice Age,Ice Age: Continental Drift,2012,7/13/2012,PG,88,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,USA,TRUE,2 wins & 11 nominations.,2,11,6.6,49,37,180327,"Manny, Diego, and Sid embark upon another adventure after their continent is set adrift. Using an iceberg as a ship, they encounter sea creatures and battle pirates as they explore a new world.",101000000,172000000,161317423,Ice Age: Collision Course,2016,7/22/2016,PG,94,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,USA,TRUE,2 wins.,2,0,5.7,34,18,51146,"When Scrat's acorn sends an asteroid to Earth, the Herd must find a way to stop the asteroid from hitting Earth with the help of a returning friend.",105000000,64063008,64060187
Ice Age,Ice Age: Dawn of the Dinosaurs,2009,7/1/2009,PG,94,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,USA,TRUE,3 wins & 13 nominations.,3,13,6.9,50,46,210032,"When Sid's attempt to adopt three dinosaur eggs gets him abducted by their real mother to an underground lost world, his friends attempt to rescue him.",100000000,219000000,124605432,Ice Age: Continental Drift,2012,7/13/2012,PG,88,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,USA,TRUE,2 wins & 11 nominations.,2,11,6.6,49,37,180327,"Manny, Diego, and Sid embark upon another adventure after their continent is set adrift. Using an iceberg as a ship, they encounter sea creatures and battle pirates as they explore a new world.",101000000,172000000,161317423
Ice Age,Ice Age: The Meltdown,2006,3/31/2006,PG,91,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,USA,TRUE,8 wins & 16 nominations.,8,16,6.8,58,57,241427,"Manny, Sid, and Diego discover that the ice age is coming to an end, and join everybody for a journey to higher ground. On the trip, they discover that Manny, in fact, is not the last of the woolly mammoths.",101000000,248000000,195300000,Ice Age: Dawn of the Dinosaurs,2009,7/1/2009,PG,94,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,USA,TRUE,3 wins & 13 nominations.,3,13,6.9,50,46,210032,"When Sid's attempt to adopt three dinosaur eggs gets him abducted by their real mother to an underground lost world, his friends attempt to rescue him.",100000000,219000000,124605432
Indiana Jones,Indiana Jones and the Last Crusade,1989,5/24/1989,PG-13,127,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"English, German, Greek, Arabic",TRUE,USA,TRUE,Won 1 Oscar. Another 7 wins & 22 nominations.,7,22,8.2,65,88,650678,"In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against Adolf Hitler's Nazis again to stop them from obtaining its powers.",99849627,410000000,N/A,Indiana Jones and the Kingdom of the Crystal Skull,2008,5/22/2008,PG-13,122,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"English, German, Russian",TRUE,USA,TRUE,Nominated for 1 BAFTA Film Award. Another 10 wins & 41 nominations.,10,41,6.1,65,78,402081,"In 1957, archaeologist and adventurer Dr. Henry ""Indiana"" Jones, Jr. is called back into action and becomes entangled in a Soviet plot to uncover the secret behind mysterious artifacts known as the Crystal Skulls.",214000000,367000000,316957122
Indiana Jones,Indiana Jones and the Temple of Doom,1984,5/23/1984,PG,118,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"English, Sinhalese, Hindi",TRUE,USA,TRUE,Won 1 Oscar. Another 10 wins & 21 nominations.,10,21,7.6,57,85,417581,"In 1935, Indiana Jones arrives in India, still part of the British Empire, and is asked to find a mystical stone. He then stumbles upon a secret cult committing enslavement and human sacrifices in the catacombs of an ancient palace.",69166667,444000000,N/A,Indiana Jones and the Last Crusade,1989,5/24/1989,PG-13,127,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"English, German, Greek, Arabic",TRUE,USA,TRUE,Won 1 Oscar. Another 7 wins & 22 nominations.,7,22,8.2,65,88,650678,"In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against Adolf Hitler's Nazis again to stop them from obtaining its powers.",99849627,410000000,N/A
Iron Man,Iron Man,2008,5/2/2008,PG-13,126,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Hungarian, Kurdish, Hindi, English, Persian, Urdu, Arabic",TRUE,USA,TRUE,Nominated for 2 Oscars. Another 20 wins & 65 nominations.,20,65,7.9,79,94,889014,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",162000000,368000000,318298180,Iron Man 2,2010,5/7/2010,PG-13,124,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"English, French, Russian",TRUE,USA,TRUE,Nominated for 1 Oscar. Another 7 wins & 42 nominations.,7,42,7,57,73,679191,"With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy.",209000000,326000000,312057433
Iron Man,Iron Man 2,2010,5/7/2010,PG-13,124,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"English, French, Russian",TRUE,USA,TRUE,Nominated for 1 Oscar. Another 7 wins & 42 nominations.,7,42,7,57,73,679191,"With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy.",209000000,326000000,312057433,Iron Man 3,2013,5/3/2013,PG-13,130,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,USA,TRUE,Nominated for 1 Oscar. Another 17 wins & 61 nominations.,17,61,7.2,62,79,713364,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",198000000,405000000,408992272
Jackass,Jackass Number Two,2006,9/22/2006,R,92,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,USA,TRUE,1 nomination.,0,1,7,66,64,63488,"Chris Pontius, Johnny Knoxville, Steve-O, Bam Margera, and the whole crew return to the screen to raise the stakes higher than ever before.",14572518,92223400,72755517,Jackass 3D,2010,10/15/2010,R,94,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,USA,TRUE,1 win & 4 nominations.,1,4,7,56,65,54014,"Johnny Knoxville and company return for the third installment of their TV show spin-off, where dangerous stunts and explicit public displays rule.",20724101,121000000,117222007
Jackass,Jackass: The Movie,2002,10/25/2002,R,87,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,USA,TRUE,1 win & 7 nominations.,1,7,6.6,42,49,77404,Johnny Knoxville and his band of maniacs perform a variety of stunts and gross-out gags on the big screen for the first time.,7141612,91777300,64209101,Jackass Number Two,2006,9/22/2006,R,92,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,USA,TRUE,1 nomination.,0,1,7,66,64,63488,"Chris Pontius, Johnny Knoxville, Steve-O, Bam Margera, and the whole crew return to the screen to raise the stakes higher than ever before.",14572518,92223400,72755517
Journey to the Center of the Earth,Journey to the Center of the Earth,2008,7/11/2008,PG,93,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"English, Icelandic, Italian",TRUE,USA,TRUE,3 wins & 3 nominations.,3,3,5.8,57,61,106981,"On a quest to find out what happened to his missing brother, a scientist, his nephew and their mountain guide discover a fantastic and dangerous lost world in the center of the earth.",69359321,118000000,101653320,Journey 2: The Mysterious Island,2012,2/10/2012,PG,94,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,USA,TRUE,7 wins & 4 nominations.,7,4,5.8,41,44,85703,"Sean Anderson partners with his mom's husband on a mission to find his grandfather, who is thought to be missing on a mythical island.",82668333,109000000,103812241
Jurassic Park,Jurassic Park,1993,6/11/1993,PG-13,127,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"English, Spanish",TRUE,USA,TRUE,Won 3 Oscars. Another 32 wins & 25 nominations.,32,25,8.1,68,91,802629,A pragmatic Paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,126000000,716000000,45299680,The Lost World: Jurassic Park,1997,5/23/1997,PG-13,129,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"English, Spanish",TRUE,USA,TRUE,Nominated for 1 Oscar. Another 4 wins & 23 nominations.,4,23,6.6,59,54,354620,"A research team is sent to the Jurassic Park Site B island to study the dinosaurs there, while an InGen team approaches with another agenda.",132000000,414000000,N/A
Kick-Ass,Kick-Ass,2010,4/16/2010,R,117,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,"UK, USA",TRUE,19 wins & 61 nominations.,19,61,7.6,66,76,506359,"Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so.",31320786,50187700,20000000,Kick-Ass 2,2013,8/16/2013,R,103,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,"USA, UK",TRUE,1 win & 7 nominations.,1,7,6.5,41,32,243483,"Following Kick-Ass' heroics, other citizens are inspired to become masked crusaders. But Red Mist leads his own group of evil supervillains to get revenge, kill Kick-Ass and destroy everything he stands for.",27732713,28521100,28800000
Kill Bill,Kill Bill: Vol. 1,2003,10/10/2003,R,111,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"English, Japanese, French",TRUE,"USA, Japan",TRUE,Nominated for 1 Golden Globe. Another 27 wins & 99 nominations.,27,99,8.1,69,85,932133,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",41284029,96465700,N/A,Kill Bill: Vol. 2,2004,4/16/2004,R,137,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"English, Cantonese, Mandarin, Spanish",TRUE,USA,TRUE,Nominated for 2 Golden Globes. Another 21 wins & 81 nominations.,21,81,8,83,84,635005,"The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.",40096615,88490800,N/A
